x0000,y0000
0,5.1,
1,5.1,
2,5.107675149,
3,5.115355275,
4,5.123039159,
5,5.130725629,
6,5.138413532,
7,5.146101739,
8,5.153789147,
9,5.161474677,
10,5.169157274,
11,5.176835905,
12,5.184509561,
13,5.192177256,
14,5.199838026,
15,5.20749093,
16,5.215135047,
17,5.222769482,
18,5.230393358,
19,5.238005819,
20,5.245606031,
21,5.253193176,
22,5.26076646,
23,5.268325106,
24,5.275868358,
25,5.283395479,
26,5.290905751,
27,5.298398476,
28,5.30587297,
29,5.313328569,
30,5.320764628,
31,5.328180515,
32,5.33557562,
33,5.342949346,
34,5.350301113,
35,5.35763036,
36,5.364936537,
37,5.372219114,
38,5.379477574,
39,5.386711415,
40,5.39392015,
41,5.401103307,
42,5.408260429,
43,5.41539107,
44,5.422494801,
45,5.429571205,
46,5.436619878,
47,5.44364043,
48,5.450632483,
49,5.457595672,
50,5.464529644,
51,5.471434058,
52,5.478308585,
53,5.485152907,
54,5.491966718,
55,5.498749723,
56,5.505501638,
57,5.512222191,
58,5.518911118,
59,5.525568168,
60,5.532193099,
61,5.538785678,
62,5.545345685,
63,5.551872905,
64,5.558367137,
65,5.564828186,
66,5.571255865,
67,5.57765,
68,5.584010421,
69,5.590336971,
70,5.596629497,
71,5.602887858,
72,5.609111917,
73,5.615301549,
74,5.621456633,
75,5.627577059,
76,5.63366272,
77,5.63971352,
78,5.645729368,
79,5.65171018,
80,5.65765588,
81,5.663566396,
82,5.669441665,
83,5.67528163,
84,5.681086238,
85,5.686855444,
86,5.692589208,
87,5.698287496,
88,5.70395028,
89,5.709577536,
90,5.715169248,
91,5.720725402,
92,5.726245992,
93,5.731731015,
94,5.737180474,
95,5.742594376,
96,5.747972733,
97,5.753315562,
98,5.758622884,
99,5.763894723,
100,5.76913111,
101,5.774332079,
102,5.779497665,
103,5.784627913,
104,5.789722865,
105,5.794782573,
106,5.799807087,
107,5.804796466,
108,5.809750768,
109,5.814670056,
110,5.819554396,
111,5.824403859,
112,5.829218517,
113,5.833998445,
114,5.838743721,
115,5.843454428,
116,5.84813065,
117,5.852772472,
118,5.857379986,
119,5.861953283,
120,5.866492458,
121,5.870997608,
122,5.875468831,
123,5.87990623,
124,5.884309907,
125,5.888679971,
126,5.893016527,
127,5.897319687,
128,5.901589563,
129,5.905826269,
130,5.910029919,
131,5.914200632,
132,5.918338527,
133,5.922443726,
134,5.926516349,
135,5.930556523,
136,5.934564371,
137,5.938540023,
138,5.942483605,
139,5.946395249,
140,5.950275084,
141,5.954123244,
142,5.957939863,
143,5.961725074,
144,5.965479015,
145,5.969201821,
146,5.972893633,
147,5.976554588,
148,5.980184826,
149,5.98378449,
150,5.98735372,
151,5.990892659,
152,5.994401452,
153,5.997880241,
154,6.001329173,
155,6.004748394,
156,6.008138049,
157,6.011498287,
158,6.014829254,
159,6.0181311,
160,6.021403972,
161,5.758017065,
162,5.757716122,
163,5.75737043,
164,5.756980308,
165,5.756546077,
166,5.756068055,
167,5.755546562,
168,5.754981914,
169,5.754374431,
170,5.753724431,
171,5.753032231,
172,5.752298149,
173,5.751522501,
174,5.750705603,
175,5.749847772,
176,5.748949322,
177,5.748010568,
178,5.747031825,
179,5.746013404,
180,5.74495562,
181,5.743858783,
182,5.742723205,
183,5.741549197,
184,5.740337068,
185,5.739087128,
186,5.737799683,
187,5.736475042,
188,5.73511351,
189,5.733715394,
190,5.732280996,
191,5.730810622,
192,5.729304573,
193,5.727763152,
194,5.726186658,
195,5.724575392,
196,5.722929651,
197,5.721249734,
198,5.719535937,
199,5.717788555,
200,5.716007882,
201,5.714194213,
202,5.712347837,
203,5.710469048,
204,5.708558134,
205,5.706615384,
206,5.704641085,
207,5.702635524,
208,5.700598986,
209,5.698531754,
210,5.696434112,
211,5.694306341,
212,5.692148721,
213,5.68996153,
214,5.687745048,
215,5.68549955,
216,5.683225312,
217,5.680922607,
218,5.678591709,
219,5.676232888,
220,5.673846416,
221,5.671432561,
222,5.66899159,
223,5.66652377,
224,5.664029366,
